global_case_index,suite,suite_case_index,case_id,case_name,benchmark,source_name,base_formula_id,target_component,failure_mode,structure_type,feature_names,true_variables,true_variable_positions,true_expression,fn_name,noise_level,dimension,true_variable_count,interference_type,proxy_variables,proxy_variable_positions,nonlinear_decoy_variables,nonlinear_decoy_positions,n_train,n_val,n_test,seed,proxy_strength,decoy_noise,split_dir,train_path,val_path,test_path,train_clean_path,val_clean_path
34,component_ablation,34,balanced_034_friedman2_safe_k4,balanced_034_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x3|x8|x10|x16,3|8|10|16,sqrt(x3**2 + (x8*x10 - 1/(x8*x16))**2),friedman2_safe_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x6|x7,5|6|7,128,128,1024,50034,0.45,0.18,suites/component_ablation/balanced_034_friedman2_safe_k4,suites/component_ablation/balanced_034_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_034_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_034_friedman2_safe_k4/test.csv,,
35,component_ablation,35,balanced_035_srsd_energy_like_k4,balanced_035_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x1|x11|x12|x18,1|11|12|18,x1*x11**2 + 0.1*sin(x12) - 0.3*x18,srsd_energy_like_k4,0.0,28,4,moderate_mixed_distractors,x2|x3|x4,2|3|4,x5|x6|x7,5|6|7,128,128,1024,50035,0.45,0.18,suites/component_ablation/balanced_035_srsd_energy_like_k4,suites/component_ablation/balanced_035_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_035_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_035_srsd_energy_like_k4/test.csv,,
36,component_ablation,36,balanced_036_livermore_rational_interaction_k4,balanced_036_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24|x25|x26|x27|x28,x8|x11|x12|x14,8|11|12|14,x8*x11/(1 + x12**2) + sin(x14),livermore_rational_interaction_k4,0.0,28,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50036,0.45,0.18,suites/component_ablation/balanced_036_livermore_rational_interaction_k4,suites/component_ablation/balanced_036_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_036_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_036_livermore_rational_interaction_k4/test.csv,,
37,component_ablation,37,balanced_037_feynman_trig_interaction_k2,balanced_037_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x3|x12,3|12,1.25*x3 + sin(x12) + 0.35*x3*x12,feynman_trig_interaction_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x4|x5,4|5,128,128,1024,50037,0.55,0.1,suites/component_ablation/balanced_037_feynman_trig_interaction_k2,suites/component_ablation/balanced_037_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_037_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_037_feynman_trig_interaction_k2/test.csv,,
38,component_ablation,38,balanced_038_nguyen_rational_k2,balanced_038_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x8|x12,8|12,x8/(1 + x12**2) + 0.5*x12,nguyen_rational_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50038,0.55,0.1,suites/component_ablation/balanced_038_nguyen_rational_k2,suites/component_ablation/balanced_038_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_038_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_038_nguyen_rational_k2/test.csv,,
39,component_ablation,39,balanced_039_livermore_exp_trig_k2,balanced_039_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x4|x5,4|5,exp(0.3*x4) - cos(x5),livermore_exp_trig_k2,0.0,12,2,moderate_mixed_distractors,x1|x2,1|2,x3|x6,3|6,128,128,1024,50039,0.55,0.1,suites/component_ablation/balanced_039_livermore_exp_trig_k2,suites/component_ablation/balanced_039_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_039_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_039_livermore_exp_trig_k2/test.csv,,
40,component_ablation,40,balanced_040_srsd_log_sqrt_k2,balanced_040_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12,x1|x12,1|12,log(1 + x1**2) + sqrt(1 + x12**2),srsd_log_sqrt_k2,0.0,12,2,moderate_mixed_distractors,x2|x3,2|3,x4|x5,4|5,128,128,1024,50040,0.55,0.1,suites/component_ablation/balanced_040_srsd_log_sqrt_k2,suites/component_ablation/balanced_040_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_040_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_040_srsd_log_sqrt_k2/test.csv,,
41,component_ablation,41,balanced_041_feynman_sparse_interaction_k3,balanced_041_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x6|x9|x15,6|9|15,sin(x6) + x9*x15 + 0.25*x15**2,feynman_sparse_interaction_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50041,0.55,0.1,suites/component_ablation/balanced_041_feynman_sparse_interaction_k3,suites/component_ablation/balanced_041_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_041_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_041_feynman_sparse_interaction_k3/test.csv,,
42,component_ablation,42,balanced_042_friedman_core_k3,balanced_042_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x4|x5|x7,4|5|7,10*sin(pi*x4*x5) + 20*(x7 - 0.5)**2,friedman_core_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x6|x8,3|6|8,128,128,1024,50042,0.55,0.1,suites/component_ablation/balanced_042_friedman_core_k3,suites/component_ablation/balanced_042_friedman_core_k3/train.csv,suites/component_ablation/balanced_042_friedman_core_k3/val.csv,suites/component_ablation/balanced_042_friedman_core_k3/test.csv,,
43,component_ablation,43,balanced_043_srsd_exp_log_k3,balanced_043_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x4|x8|x10,4|8|10,exp(0.2*x4) + log(1 + x8**2) + x10,srsd_exp_log_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x5|x6,3|5|6,128,128,1024,50043,0.55,0.1,suites/component_ablation/balanced_043_srsd_exp_log_k3,suites/component_ablation/balanced_043_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_043_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_043_srsd_exp_log_k3/test.csv,,
44,component_ablation,44,balanced_044_nguyen_trig_poly_k3,balanced_044_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x5|x7|x15,5|7|15,x5**2 + x7*sin(x15) + 0.5*x5*x7,nguyen_trig_poly_k3,0.0,16,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x6,3|4|6,128,128,1024,50044,0.55,0.1,suites/component_ablation/balanced_044_nguyen_trig_poly_k3,suites/component_ablation/balanced_044_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_044_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_044_nguyen_trig_poly_k3/test.csv,,
45,component_ablation,45,balanced_045_feynman_rational_trig_k4,balanced_045_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x2|x13|x19|x20,2|13|19|20,(x2 + 0.5*x13**2)/(1 + x19**2) + 0.4*cos(x20),feynman_rational_trig_k4,0.0,20,4,moderate_mixed_distractors,x1|x3|x4,1|3|4,x5|x6|x7,5|6|7,128,128,1024,50045,0.55,0.1,suites/component_ablation/balanced_045_feynman_rational_trig_k4,suites/component_ablation/balanced_045_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_045_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_045_feynman_rational_trig_k4/test.csv,,
46,component_ablation,46,balanced_046_friedman2_safe_k4,balanced_046_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x4|x5|x10|x16,4|5|10|16,sqrt(x4**2 + (x5*x10 - 1/(x5*x16))**2),friedman2_safe_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x6|x7|x8,6|7|8,128,128,1024,50046,0.55,0.1,suites/component_ablation/balanced_046_friedman2_safe_k4,suites/component_ablation/balanced_046_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_046_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_046_friedman2_safe_k4/test.csv,,
47,component_ablation,47,balanced_047_srsd_energy_like_k4,balanced_047_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x3|x15|x16|x17,3|15|16|17,x3*x15**2 + 0.1*sin(x16) - 0.3*x17,srsd_energy_like_k4,0.0,20,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x6|x7,5|6|7,128,128,1024,50047,0.55,0.1,suites/component_ablation/balanced_047_srsd_energy_like_k4,suites/component_ablation/balanced_047_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_047_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_047_srsd_energy_like_k4/test.csv,,
48,component_ablation,48,balanced_048_livermore_rational_interaction_k4,balanced_048_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x2|x5|x9|x19,2|5|9|19,x2*x5/(1 + x9**2) + sin(x19),livermore_rational_interaction_k4,0.0,20,4,moderate_mixed_distractors,x1|x3|x4,1|3|4,x6|x7|x8,6|7|8,128,128,1024,50048,0.55,0.1,suites/component_ablation/balanced_048_livermore_rational_interaction_k4,suites/component_ablation/balanced_048_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_048_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_048_livermore_rational_interaction_k4/test.csv,,
49,component_ablation,49,balanced_049_feynman_trig_interaction_k2,balanced_049_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x8|x14,8|14,1.25*x8 + sin(x14) + 0.35*x8*x14,feynman_trig_interaction_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50049,0.25,0.14,suites/component_ablation/balanced_049_feynman_trig_interaction_k2,suites/component_ablation/balanced_049_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_049_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_049_feynman_trig_interaction_k2/test.csv,,
50,component_ablation,50,balanced_050_nguyen_rational_k2,balanced_050_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x2|x3,2|3,x2/(1 + x3**2) + 0.5*x3,nguyen_rational_k2,0.0,16,2,moderate_mixed_distractors,x1|x4,1|4,x5|x6,5|6,128,128,1024,50050,0.25,0.14,suites/component_ablation/balanced_050_nguyen_rational_k2,suites/component_ablation/balanced_050_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_050_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_050_nguyen_rational_k2/test.csv,,
51,component_ablation,51,balanced_051_livermore_exp_trig_k2,balanced_051_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x4|x9,4|9,exp(0.3*x4) - cos(x9),livermore_exp_trig_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x3|x5,3|5,128,128,1024,50051,0.25,0.14,suites/component_ablation/balanced_051_livermore_exp_trig_k2,suites/component_ablation/balanced_051_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_051_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_051_livermore_exp_trig_k2/test.csv,,
52,component_ablation,52,balanced_052_srsd_log_sqrt_k2,balanced_052_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16,x3|x14,3|14,log(1 + x3**2) + sqrt(1 + x14**2),srsd_log_sqrt_k2,0.0,16,2,moderate_mixed_distractors,x1|x2,1|2,x4|x5,4|5,128,128,1024,50052,0.25,0.14,suites/component_ablation/balanced_052_srsd_log_sqrt_k2,suites/component_ablation/balanced_052_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_052_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_052_srsd_log_sqrt_k2/test.csv,,
53,component_ablation,53,balanced_053_feynman_sparse_interaction_k3,balanced_053_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x10|x12|x18,10|12|18,sin(x10) + x12*x18 + 0.25*x18**2,feynman_sparse_interaction_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50053,0.25,0.14,suites/component_ablation/balanced_053_feynman_sparse_interaction_k3,suites/component_ablation/balanced_053_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_053_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_053_feynman_sparse_interaction_k3/test.csv,,
54,component_ablation,54,balanced_054_friedman_core_k3,balanced_054_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x4|x11|x12,4|11|12,10*sin(pi*x4*x11) + 20*(x12 - 0.5)**2,friedman_core_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x5|x6,3|5|6,128,128,1024,50054,0.25,0.14,suites/component_ablation/balanced_054_friedman_core_k3,suites/component_ablation/balanced_054_friedman_core_k3/train.csv,suites/component_ablation/balanced_054_friedman_core_k3/val.csv,suites/component_ablation/balanced_054_friedman_core_k3/test.csv,,
55,component_ablation,55,balanced_055_srsd_exp_log_k3,balanced_055_srsd_exp_log_k3,SRSD,SRSD-style exp-log mix,srsd_exp_log_k3,balanced,moderate_unified_component_ablation,exp_log,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x10|x12|x13,10|12|13,exp(0.2*x10) + log(1 + x12**2) + x13,srsd_exp_log_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50055,0.25,0.14,suites/component_ablation/balanced_055_srsd_exp_log_k3,suites/component_ablation/balanced_055_srsd_exp_log_k3/train.csv,suites/component_ablation/balanced_055_srsd_exp_log_k3/val.csv,suites/component_ablation/balanced_055_srsd_exp_log_k3/test.csv,,
56,component_ablation,56,balanced_056_nguyen_trig_poly_k3,balanced_056_nguyen_trig_poly_k3,Nguyen,Nguyen-style trig-polynomial mix,nguyen_trig_poly_k3,balanced,moderate_unified_component_ablation,trig_polynomial,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x3|x11|x16,3|11|16,x3**2 + x11*sin(x16) + 0.5*x3*x11,nguyen_trig_poly_k3,0.0,20,3,moderate_mixed_distractors,x1|x2,1|2,x4|x5|x6,4|5|6,128,128,1024,50056,0.25,0.14,suites/component_ablation/balanced_056_nguyen_trig_poly_k3,suites/component_ablation/balanced_056_nguyen_trig_poly_k3/train.csv,suites/component_ablation/balanced_056_nguyen_trig_poly_k3/val.csv,suites/component_ablation/balanced_056_nguyen_trig_poly_k3/test.csv,,
57,component_ablation,57,balanced_057_feynman_rational_trig_k4,balanced_057_feynman_rational_trig_k4,Feynman,Feynman-style rational-trig mix,feynman_rational_trig_k4,balanced,moderate_unified_component_ablation,rational_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x3|x8|x10|x21,3|8|10|21,(x3 + 0.5*x8**2)/(1 + x10**2) + 0.4*cos(x21),feynman_rational_trig_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x6|x7,5|6|7,128,128,1024,50057,0.25,0.14,suites/component_ablation/balanced_057_feynman_rational_trig_k4,suites/component_ablation/balanced_057_feynman_rational_trig_k4/train.csv,suites/component_ablation/balanced_057_feynman_rational_trig_k4/val.csv,suites/component_ablation/balanced_057_feynman_rational_trig_k4/test.csv,,
58,component_ablation,58,balanced_058_friedman2_safe_k4,balanced_058_friedman2_safe_k4,Friedman/PMLB-FRI,Friedman-2 safe-range motif,friedman2_safe_k4,balanced,moderate_unified_component_ablation,sqrt_rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x11|x13|x16|x24,11|13|16|24,sqrt(x11**2 + (x13*x16 - 1/(x13*x24))**2),friedman2_safe_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50058,0.25,0.14,suites/component_ablation/balanced_058_friedman2_safe_k4,suites/component_ablation/balanced_058_friedman2_safe_k4/train.csv,suites/component_ablation/balanced_058_friedman2_safe_k4/val.csv,suites/component_ablation/balanced_058_friedman2_safe_k4/test.csv,,
59,component_ablation,59,balanced_059_srsd_energy_like_k4,balanced_059_srsd_energy_like_k4,SRSD,SRSD-style energy relation,srsd_energy_like_k4,balanced,moderate_unified_component_ablation,polynomial_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x7|x11|x13|x17,7|11|13|17,x7*x11**2 + 0.1*sin(x13) - 0.3*x17,srsd_energy_like_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x3,1|2|3,x4|x5|x6,4|5|6,128,128,1024,50059,0.25,0.14,suites/component_ablation/balanced_059_srsd_energy_like_k4,suites/component_ablation/balanced_059_srsd_energy_like_k4/train.csv,suites/component_ablation/balanced_059_srsd_energy_like_k4/val.csv,suites/component_ablation/balanced_059_srsd_energy_like_k4/test.csv,,
60,component_ablation,60,balanced_060_livermore_rational_interaction_k4,balanced_060_livermore_rational_interaction_k4,Livermore,Livermore-style rational interaction,livermore_rational_interaction_k4,balanced,moderate_unified_component_ablation,rational_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x3|x6|x10|x23,3|6|10|23,x3*x6/(1 + x10**2) + sin(x23),livermore_rational_interaction_k4,0.0,24,4,moderate_mixed_distractors,x1|x2|x4,1|2|4,x5|x7|x8,5|7|8,128,128,1024,50060,0.25,0.14,suites/component_ablation/balanced_060_livermore_rational_interaction_k4,suites/component_ablation/balanced_060_livermore_rational_interaction_k4/train.csv,suites/component_ablation/balanced_060_livermore_rational_interaction_k4/val.csv,suites/component_ablation/balanced_060_livermore_rational_interaction_k4/test.csv,,
61,component_ablation,61,balanced_061_feynman_trig_interaction_k2,balanced_061_feynman_trig_interaction_k2,Feynman,Feynman-style trigonometric interaction,feynman_trig_interaction_k2,balanced,moderate_unified_component_ablation,trig_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x8|x11,8|11,1.25*x8 + sin(x11) + 0.35*x8*x11,feynman_trig_interaction_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50061,0.35,0.18,suites/component_ablation/balanced_061_feynman_trig_interaction_k2,suites/component_ablation/balanced_061_feynman_trig_interaction_k2/train.csv,suites/component_ablation/balanced_061_feynman_trig_interaction_k2/val.csv,suites/component_ablation/balanced_061_feynman_trig_interaction_k2/test.csv,,
62,component_ablation,62,balanced_062_nguyen_rational_k2,balanced_062_nguyen_rational_k2,Nguyen,Nguyen-style rational,nguyen_rational_k2,balanced,moderate_unified_component_ablation,rational,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x9|x15,9|15,x9/(1 + x15**2) + 0.5*x15,nguyen_rational_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50062,0.35,0.18,suites/component_ablation/balanced_062_nguyen_rational_k2,suites/component_ablation/balanced_062_nguyen_rational_k2/train.csv,suites/component_ablation/balanced_062_nguyen_rational_k2/val.csv,suites/component_ablation/balanced_062_nguyen_rational_k2/test.csv,,
63,component_ablation,63,balanced_063_livermore_exp_trig_k2,balanced_063_livermore_exp_trig_k2,Livermore,Livermore-style exp-trig mix,livermore_exp_trig_k2,balanced,moderate_unified_component_ablation,exp_trig,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x9|x19,9|19,exp(0.3*x9) - cos(x19),livermore_exp_trig_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50063,0.35,0.18,suites/component_ablation/balanced_063_livermore_exp_trig_k2,suites/component_ablation/balanced_063_livermore_exp_trig_k2/train.csv,suites/component_ablation/balanced_063_livermore_exp_trig_k2/val.csv,suites/component_ablation/balanced_063_livermore_exp_trig_k2/test.csv,,
64,component_ablation,64,balanced_064_srsd_log_sqrt_k2,balanced_064_srsd_log_sqrt_k2,SRSD,SRSD-style log-sqrt relation,srsd_log_sqrt_k2,balanced,moderate_unified_component_ablation,log_sqrt,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20,x14|x16,14|16,log(1 + x14**2) + sqrt(1 + x16**2),srsd_log_sqrt_k2,0.0,20,2,moderate_mixed_distractors,x1|x2,1|2,x3|x4,3|4,128,128,1024,50064,0.35,0.18,suites/component_ablation/balanced_064_srsd_log_sqrt_k2,suites/component_ablation/balanced_064_srsd_log_sqrt_k2/train.csv,suites/component_ablation/balanced_064_srsd_log_sqrt_k2/val.csv,suites/component_ablation/balanced_064_srsd_log_sqrt_k2/test.csv,,
65,component_ablation,65,balanced_065_feynman_sparse_interaction_k3,balanced_065_feynman_sparse_interaction_k3,Feynman,Feynman-style sparse interaction,feynman_sparse_interaction_k3,balanced,moderate_unified_component_ablation,sparse_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x6|x9|x22,6|9|22,sin(x6) + x9*x22 + 0.25*x22**2,feynman_sparse_interaction_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x5,3|4|5,128,128,1024,50065,0.35,0.18,suites/component_ablation/balanced_065_feynman_sparse_interaction_k3,suites/component_ablation/balanced_065_feynman_sparse_interaction_k3/train.csv,suites/component_ablation/balanced_065_feynman_sparse_interaction_k3/val.csv,suites/component_ablation/balanced_065_feynman_sparse_interaction_k3/test.csv,,
66,component_ablation,66,balanced_066_friedman_core_k3,balanced_066_friedman_core_k3,Friedman/PMLB-FRI,Friedman-1 core,friedman_core_k3,balanced,moderate_unified_component_ablation,friedman_interaction,x1|x2|x3|x4|x5|x6|x7|x8|x9|x10|x11|x12|x13|x14|x15|x16|x17|x18|x19|x20|x21|x22|x23|x24,x5|x16|x23,5|16|23,10*sin(pi*x5*x16) + 20*(x23 - 0.5)**2,friedman_core_k3,0.0,24,3,moderate_mixed_distractors,x1|x2,1|2,x3|x4|x6,3|4|6,128,128,1024,50066,0.35,0.18,suites/component_ablation/balanced_066_friedman_core_k3,suites/component_ablation/balanced_066_friedman_core_k3/train.csv,suites/component_ablation/balanced_066_friedman_core_k3/val.csv,suites/component_ablation/balanced_066_friedman_core_k3/test.csv,,
